施設ID,施設GID,施設FID
ChIJVT6rSA5cGGARYqSCf5bkFOU,ChIJVT6rSA5cGGARYqSCf5bkFOU,0x60185c0e48ab3e55:0xe514e4967f82a462
ChIJuRwTpVmJGGARX9d9A9u4e2M,ChIJuRwTpVmJGGARX9d9A9u4e2M,0x60188959a5131cb9:0x637bb8db037dd75f
ChIJr_gh8-mMGGAReiKO2I5zXiQ,ChIJr_gh8-mMGGAReiKO2I5zXiQ,0x60188ce9f321f8af:0x245e738ed88e227a
ChIJP9zYNgCLGGARg9VdAHu9zn8,ChIJP9zYNgCLGGARg9VdAHu9zn8,0x60188b0036d8dc3f:0x7fcebd7b005dd583
ChIJQd66A4OMGGARY0amg90YF6c,ChIJQd66A4OMGGARY0amg90YF6c,0x60188c8303bade41:0xa71718dd83a64663
ChIJDy8FkazzGGARQTI3NbjYAl4,ChIJDy8FkazzGGARQTI3NbjYAl4,0x6018f3ac91052f0f:0x5e02d8b835373241
ChIJi8CVtk-LGGAReG7RkZXeYtM,ChIJi8CVtk-LGGAReG7RkZXeYtM,0x60188b4fb695c08b:0xd362de9591d16e78
ChIJY1pboOeLGGARkkH8hAUviOk,ChIJY1pboOeLGGARkkH8hAUviOk,0x60188be7a05b5a63:0xe9882f0584fc4192
ChIJU4k0wtWMGGARAtFjufGkuhg,ChIJU4k0wtWMGGARAtFjufGkuhg,0x60188cd5c2348953:0x18baa4f1b963d102
ChIJ05uhy9NwA2AROWjw7NhEbGw,ChIJ05uhy9NwA2AROWjw7NhEbGw,0x600370d3cba19bd3:0x6c6c44d8ecf06839
ChIJbfA1h7rwGGARGH3agvfElBY,ChIJbfA1h7rwGGARGH3agvfElBY,0x6018f0ba8735f06d:0x1694c4f782da7d18
ChIJR4_eE9XyGGARXJkNpS4FhC0,ChIJR4_eE9XyGGARXJkNpS4FhC0,0x6018f2d513de8f47:0x2d84052ea50d995c
ChIJS4-RPVaJGGARHaKKQtbxmLI,ChIJS4-RPVaJGGARHaKKQtbxmLI,0x601889563d918f4b:0xb298f1d6428aa21d
ChIJTx5L3ZqLGGARka-1yqwmUqg,ChIJTx5L3ZqLGGARka-1yqwmUqg,0x60188b9add4b1e4f:0xa85226accab5af91
