施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,緯度,経度,施設GID,営業ステータス
202596,花岡結婚センター,,,,,,,"https://www.google.com/maps/place/%E8%8A%B1%E5%B2%A1%E7%B5%90%E5%A9%9A%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/@36.0657644,138.0861395,17z/data=!3m1!4b1!4m6!3m5!1s0x601c555c309116f5:0xb7633ed9f4bd7612!8m2!3d36.0657644!4d138.0861395!16s%2Fg%2F1whdjf9c?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ9RaRMFxVHGAREna99Nk-Y7c,
201175,ブライダル輝～テルーレ～,,,,,,,"https://www.google.com/maps/place/Inoe/@36.3254268,139.8086435,17z/data=!3m1!4b1!4m6!3m5!1s0x601f4f02002c960b:0x8493dc939599ea93!8m2!3d36.3254268!4d139.8086435!16s%2Fg%2F11ggkqh5pq?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJC5YsAAJPH2ARk-qZlZPck4Q,
202541,世話やきばあちゃん!,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E6%83%85%E5%A0%B1%E7%B4%B9%E4%BB%8B%E3%82%B5%E3%83%BC%E3%82%AF%E3%83%AB+%E4%B8%96%E8%A9%B1%E3%82%84%E3%81%8D%E3%81%B0%E3%81%82%E3%81%A1%E3%82%83%E3%82%93!/@36.5405832,139.8763295,17z/data=!3m1!4b1!4m6!3m5!1s0x601f678cc1a9f3fb:0x8a102ba3837dfed4!8m2!3d36.5405832!4d139.8763295!16s%2Fg%2F1tf_1562?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ-_OpwYxnH2AR1P59g6MrEIo,
200723,ラム－ルしあわせ高崎本店,,,,,,,"https://www.google.com/maps/place/%E3%83%A9%E3%83%A0%EF%BC%8D%E3%83%AB%E3%81%97%E3%81%82%E3%82%8F%E3%81%9B%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80%E9%AB%98%E5%B4%8E%E6%9C%AC%E5%BA%97/@36.3224028,139.0156089,17z/data=!3m1!4b1!4m6!3m5!1s0x601e8d07f9d3a545:0x59a1ad74f6521e0c!8m2!3d36.3224028!4d139.0156089!16s%2Fg%2F11bv33gwk0?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJRaXT-QeNHmARDB5S9nStoVk,
202879,群馬県仲人協会,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80+%E7%BE%A4%E9%A6%AC%E7%9C%8C%E4%BB%B2%E4%BA%BA%E5%8D%94%E4%BC%9A/@36.3221092,139.0094935,17z/data=!3m1!4b1!4m6!3m5!1s0x601e92831484db57:0x7536f36f443cd5ab!8m2!3d36.3221092!4d139.0094935!16s%2Fg%2F1tgw5365?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJV9uEFIOSHmARq9U8RG_zNnU,
202406,ハートステーション幸和,,,,,,,"https://www.google.com/maps/place/Marriage+Counselor+Heart+Station+Cowa/@36.3251864,139.0149202,17z/data=!3m1!4b1!4m6!3m5!1s0x601e929c35c28429:0x550f42c5589c13dd!8m2!3d36.3251864!4d139.0149202!16s%2Fg%2F1vd71dmg?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJKYTCNZySHmAR3ROcWMVCD1U,
201606,石川県白山市の結婚相談所【仲人庵】,,,,,,,"https://www.google.com/maps/place/%E7%9F%B3%E5%B7%9D%E7%9C%8C%E7%99%BD%E5%B1%B1%E5%B8%82%E3%81%AE%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80%E3%80%90%E4%BB%B2%E4%BA%BA%E5%BA%B5%E3%80%91/@36.50656,136.5654551,17z/data=!3m1!4b1!4m6!3m5!1s0x5ff84a471f3b4dc1:0x601e1bec506037fa!8m2!3d36.50656!4d136.5654551!16s%2Fg%2F11cphzklzq?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJwU07H0dK-F8R-jdgUOwbHmA,
201761,ココカラ。縁結び,,,,,,,"https://www.google.com/maps/place/%E3%82%B3%E3%82%B3%E3%82%AB%E3%83%A9%E3%80%82%E7%B8%81%E7%B5%90%E3%81%B3/@36.5712355,136.625897,17z/data=!3m1!4b1!4m6!3m5!1s0x5ff834a167d439a7:0x20367db8d3ba7dee!8m2!3d36.5712355!4d136.625897!16s%2Fg%2F11b6v0__7r?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJpznUZ6E0-F8R7n2607h9NiA,
203294,富山県仲人協会,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80+%E5%AF%8C%E5%B1%B1%E7%9C%8C%E4%BB%B2%E4%BA%BA%E5%8D%94%E4%BC%9A/@36.6676529,137.2055314,17z/data=!3m1!4b1!4m6!3m5!1s0x5ff79033aec51219:0xbaf3d64f78b5c391!8m2!3d36.6676529!4d137.2055314!16s%2Fg%2F1tdh3qdy?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJGRLFrjOQ918RkcO1eE_W87o,
203066,福井県仲人協会,,,,,,,"https://www.google.com/maps/place/%E7%A6%8F%E4%BA%95%E7%9C%8C%E4%BB%B2%E4%BA%BA%E5%8D%94%E4%BC%9A/@36.0729581,136.2140441,17z/data=!3m1!4b1!4m6!3m5!1s0x5ff8befc29ec99b7:0x9d6cf7a9ee614678!8m2!3d36.0729581!4d136.2140441!16s%2Fg%2F1th5cf8t?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJt5nsKfy--F8ReEZh7qn3bJ0,
